ID;Content;Lab;NumL
1;"-  İlhan              Emir 

😭😭🤍🤍🤍

#AskMantıkİntikam 
#eszanlas #ilhanşen #emirgüler https://t.co/IufnTowmb7";Neutral;2
2;"- ""bundan böyle aldanmasına izin vermeyiz bu ağaçların, gözümüzü üstlerinden ayırmayız, aşkla bakarız... "" 🌿 
#ElKen #GönülDağı https://t.co/abhUJXevfN";Neutral;2
3;"- “ bembeyaz.🤍”

#AşkMantıkİntikam #eszan 
#ilbur #İlhanŞen #BurcuÖzberk  https://t.co/8WR0zsTxcK";Neutral;2
4;"- “Bana ellerini ver hayat seni sevince güzel” 🤍✨

#AşkMantıkİntikam #eszan https://t.co/nNHkQA7L0O";Neutral;2
5;"- “çok seviyorum seni.”
+ “bende… çok.” 🥹❤️‍🩹

#AşkMantıkİntikam • #EsZan https://t.co/wEwJQqA74X";Neutral;2
6;"— “Kocacım”😍

#AşkMantıkİntikam • #EsZan https://t.co/EoJ9jPtkC1";Neutral;2
7;"— “merhaba çok tatlısın”🥹

Atlas and Ada🍊🌸

#AşkMantıkİntikam • #EsZanLasDa https://t.co/Aqd5kI0pHH";Positive;1
8;"- “Öyle mi?” 
- “Öyle.”

their growth yaaaa 😭🤍🤍🤍
I miss them 🥺🤍

#AşkMantıkİntikam #EsZan https://t.co/I7zCs5np4G";Neutral;2
9;"— “Sanem.. çok sev beni, öyle sevki beni, belki o zaman biraz olsun yaklaşırsın sana olan sevgime..”💛

#BorSan , #EvlilikHakkındaHerŞey https://t.co/6bIoNm5BnA";Neutral;2
10;"— “Yaa ne alakası var Esra?”🥹

#AşkMantıkİntikam • #EsZan https://t.co/fLC13BmDxH";Neutral;2
11;"- Aşk mı?
- Aşk
- Derin devlet Feride hanım varken

#CamdakiKız https://t.co/B8IRX4F3UP";Neutral;2
12;"- aşk zehir mi yoksa ilaç mı?  

#Mahkum | #Barbüg https://t.co/fekFh10Wnk";Neutral;2
13;"- baba ve oğul 😭🤍

#AşkMantıkİntikam #EsZanLas https://t.co/TnHwTZs4gO";Neutral;2
